Name,X,Y
Mt. Royal Cimitiere,-73.591923823999934,45.507853075000071
Lac aux Castors,-73.594270900999959,45.498361341000077
Cote de Neiges,-73.629642848999936,45.503690959000039
Parc Jean-Michel,-73.619559745999936,45.562744328000065
Ile de Soeurs,-73.558695934999946,45.452537852000034
Parc Jean-Drapeau,-73.536843667999960,45.515752942000063
Lachine Canal,-73.618233571999951,45.450954055000068
Lafontaine,-73.572886249999954,45.526240195000071
Parc-Ex,-73.625679296999976,45.539713626000037
Le Boulevard,-73.622030066999969,45.483813384000030
Riviere Prairies,-73.671814512999958,45.557303567000076
Angrignon,-73.604096120999941,45.439547548000064
Hochelaga,-73.572072967999986,45.601760544000058
